time,open,high,low,close,ARO Regime (1 Trend / 0 Random / -1 Revert),ARO Hurst (smoothed),ARO Entropy (smoothed),ARO VR Composite,ARO Kalman Direction,ARO Innovation Z (smoothed),ARO volState (GARCH/EWMA),ARO Stop Distance (GARCH/ATR),Master Buy,Master Sell,Regime Flip,ARO Bounded Core,Pullback Score,Long Threshold,Short Threshold,PB Long,PB Short,Kalman Trend (price),Kalman Direction (kDir),Innovation Z (smoothed),VR Composite (gated),Regime (-1 Revert / 0 Rand / 1 Trend),volState (GARCH/EWMA),Suggested Stop Distance,Suggested Position %,Regime Hurst,Regime Entropy,ModeNum,ZoneForce Long,ZoneForce Short,Trailing ER short,Trailing ER long,Variance Ratio q short,Variance Ratio q long,Zone Count
1789172460,0.07687,0.0769,0.07687,0.07688,-1,0.640261430703165,0.6783571612574689,0.5518680783673567,0.006232078507483349,0.14480419813854817,0.8366251591207058,0.00005981413619300487,0,0,,-8.37665247086958,-11.811672126797015,60,-60,,,0.07687740288911497,0.010235054367551767,0.09300276478496627,0.5518680783673567,-1,0.8366251591207058,0.00005981413619300487,100,0.6318162578703609,0.49020975535351363,1,0.000039103166827961616,0.000039103166827961616,0.20000000000005552,0.538461538461545,0.5248243907332455,0.5754092142605153,8
1789172520,0.07688,0.07689,0.07686,0.07689,-1,0.640261430703165,0.6783571612574689,0.5518103866441912,0.04720587556381268,0.20005059788403107,0.8196277979562037,0.000058884173472967986,0,0,,13.181742789545156,-2.5909793154912677,60,-60,,,0.0768848171838345,0.03879652017546885,0.18086157471849215,0.5518103866441912,-1,0.8196277979562037,0.000058884173472967986,100,0.629649255025762,0.4857777049360687,1,1.1167759804962385e-7,0.0016374271658975749,0.39999999999997227,0.49152542372881675,0.5255949883782292,0.5777950180174913,8
1789172640,0.07689,0.07689,0.07687,0.07687,-1,0.6322807361402554,0.6397164915847594,0.5498601916376766,0.024436912252320052,-0.12083933309080302,0.7970024905989055,0.00005749897369278996,0,0,,15.655371571660888,-3.8276916200444546,60,-60,,,0.07687785939091497,0.020016789768092347,-0.1297025952389461,0.5498601916376766,-1,0.7970024905989055,0.00005749897369278996,100,0.6235980469496529,0.4821514818672501,1,0.00007453306344144632,0.00007453306344144632,0.25000000000004335,0.35849056603772594,0.5211906796759573,0.5707289235733374,8
1789172700,0.07688,0.07688,0.07686,0.07686,-1,0.6322807361402554,0.6397164915847594,0.5426196265023393,-0.0297147524244712,-0.27986894091192555,0.8111689472667699,0.00005880065357870421,0,0,,-20.262068687350496,2.1313243791134653,60,-60,,,0.07686824284879255,-0.024128437025383274,-0.29591457567155455,0.5426196265023393,-1,0.8111689472667699,0.00005880065357870421,100,0.618398313849672,0.47918457208367127,1,0.002862841328726369,1.0053244856000911e-7,0.3333333333333333,0.320754716981137,0.4971656536396707,0.5591113388236588,8
1789172760,0.07686,0.07686,0.07681,0.07681,-1,0.6322807361402554,0.6397164915847594,0.5371187038381818,-0.18167299333718145,-0.8077830302797042,0.7998559654281276,0.00005822298147327378,0,0,,-40.33451912884604,12.422837325941423,60,-60,,,0.0768365752075647,-0.14689195983829567,-0.8762724326072143,0.5371187038381818,-1,0.7998559654281276,0.00005822298147327378,100,0.6204547341618015,0.4767571004425613,1,1.2672904848671964,15.470759745200503,0.5714285714285431,0.25,0.49869912358281576,0.5535345934369177,8
1789172820,0.07681,0.07681,0.0768,0.0768,-1,0.6322807361402554,0.6397164915847594,0.5358978461802927,-0.31145959397775835,-0.6532726395141158,0.8693708018001474,0.00006360130976846522,0,0,,-47.21639283326202,17.333107451027857,60,-60,,,0.0768127370650934,-0.2624496254825738,-0.770416666421307,0.5358978461802927,-1,0.8693708018001474,0.00006360130976846522,100,0.6277562818867769,0.4747709872816531,1,7.306407503377597,4.416494004944526,0.538461538461522,0.11999999999997779,0.5090042764185423,0.5579079853104862,8
1789172880,0.07683,0.07693,0.07683,0.07693,-1,0.6322807361402554,0.6397164915847594,0.531200597490544,-0.07979674092962752,1.2728908799656873,0.8379038574227391,0.00006169538467455017,0,0,,26.102950596418033,-1.3226236642786944,60,-60,,,0.07685715737100375,-0.11345535051908173,1.2233559049187972,0.531200597490544,-1,0.8379038574227391,0.00006169538467455017,100,0.6253836741640585,0.4727328150927227,1,16.199148933710347,2.0775303931110627,0.23076923076923897,0.25423728813557966,0.5035248810156016,0.5400873192064918,8
1789172940,0.07693,0.07693,0.07691,0.07691,-1,0.6322807361402554,0.6397164915847594,0.529449042387957,0.11539999134890266,1.0746674234470404,1.0728570147332417,0.00007971118475786279,0,0,,36.696350977907485,-8.228435066660232,60,-60,,,0.07687843164355014,0.02114291190766565,1.1483768241826682,0.529449042387957,-1,1.0728570147332417,0.00007971118475786279,100,0.620918846170384,0.46986242757659386,1,0,10.24766510892855,0.18518518518521185,0.0400000000000111,0.5072440623588073,0.5446478020067586,8
1789173000,0.07688,0.07688,0.07688,0.07688,-1,0.6322807361402554,0.6397164915847594,0.5259960821744375,0.17486994148810348,0.3571578518857209,0.9694881121064688,0.00007256348419852043,0,0,,-16.13189292568877,20.065952474641378,60,-60,,,0.07688265985604281,0.08196614041499609,0.5178461712167471,0.5259960821744375,-1,0.9694881121064688,0.00007256348419852043,100,0.614719319609498,0.46877317072828045,1,0.00007453306344156044,0.00007453306344156044,0.034482758620722656,0.08333333333332611,0.502237521142303,0.5359428023524939,8
1789173060,0.07687,0.07689,0.07687,0.07689,-1,0.6322807361402554,0.6397164915847594,0.5227116367487019,0.18630725747356877,0.0867274245913548,0.9112062639901415,0.00006864356472334113,0,0,,37.388097257071735,-10.694550137763503,60,-60,,,0.07688942848968655,0.11752953164748312,0.2730250178112666,0.5227116367487019,-1,0.9112062639901415,0.00006864356472334113,100,0.6104448206183224,0.4678819605796604,1,1.0723105396824873e-7,0.0026827213173696556,0.03448275862067646,0.20000000000001233,0.5019618360053756,0.5303236557890861,8
