time,open,high,low,close,ARO Regime (1 Trend / 0 Random / -1 Revert),ARO Hurst (smoothed),ARO Entropy (smoothed),ARO VR Composite,ARO Kalman Direction,ARO Innovation Z (smoothed),ARO volState (GARCH/EWMA),ARO Stop Distance (GARCH/ATR),Master Buy,Master Sell,Regime Flip,ARO Bounded Core,Pullback Score,Long Threshold,Short Threshold,PB Long,PB Short,Kalman Trend (price),Kalman Direction (kDir),Innovation Z (smoothed),VR Composite (gated),Regime (-1 Revert / 0 Rand / 1 Trend),volState (GARCH/EWMA),Suggested Stop Distance,Suggested Position %,Regime Hurst,Regime Entropy,ModeNum,ZoneForce Long,ZoneForce Short,Trailing ER short,Trailing ER long,Variance Ratio q short,Variance Ratio q long,Zone Count
1788130800,0.07515,0.07515,0.07262,0.07354,,,,,,,,,,,,-39.13750995382972,31.56875497691486,60,-60,,,0.07463826625163879,-0.3525271846065374,-1.5361092544319197,0.8693109544788447,0,0.9411078213853462,0.0009633475101980409,76.33797692058388,0.6262840320634321,0.8389494026870485,1,0,2.3740665029640375,0.48582230623818295,0.24889867841409657,0.9867236620810477,0.6586416666073625,8
1788134400,0.07337,0.07489,0.07335,0.07458,,,,,,,,,,,,8.91471824915806,15.392010339632124,60,-60,,,0.07434547945518818,-0.38678617629377265,-0.6014904795864064,0.8375808575132112,-1,1.2000025605027158,0.0012436758702460428,59.96739326079025,0.6262840320634321,0.8389494026870485,1,18.055514285103097,3.3793672795676146,0.2739059967585097,0.09736308316429997,0.8828316450139497,0.6654096821499392,8
1788138000,0.07449,0.07485,0.0741,0.07415,,,,,,,,,,,,20.98378262405563,4.8486034376743845,60,-60,,,0.07404081330630669,-0.3964209922899178,-0.22053976979813916,0.835099148604401,-1,1.2369876709150647,0.0012733523972011883,58.23211246390293,0.6262840320634321,0.8389494026870485,1,14.039402988834343,6.285856674303798,0.34360554699537776,0.182186234817814,0.9264036038719384,0.7338678577016232,8
1788141600,0.07418,0.07484,0.07389,0.0741,,,,,,,,,,,,-14.581591897629139,-0.7091986171318609,60,-60,,,0.07387180057600451,-0.3711419981368262,0.07445463908672623,0.8511022163501581,0,1.1857777378713301,0.001218407713536647,60.81708050330005,0.6255026554385648,0.8402430972976624,1,0.00007453306344157144,1.118554884976431e-8,0.5339130434782596,0.1805273833671397,0.9688980750594539,0.797318628623891,6
1788145200,0.07408,0.07549,0.07408,0.07527,,,,,,,,,,,,22.69876466964867,-11.83752943507924,60,-60,,,0.07436527894301678,-0.22966401861493485,0.775121281778331,0.8658394877993326,0,1.1504382259684625,0.0011988564283286875,62.78483246316082,0.6255026554385648,0.8402430972976624,1,0,39.54529830652999,0.1877022653721668,0.01790763430725684,0.9910924284245718,0.7995356329707916,6
1788148800,0.07524,0.07526,0.07447,0.07504,,,,,,,,,,,,42.35189383416274,-18.391531949193705,60,-60,,,0.07462729116199324,-0.10686768623849052,0.6970505323946798,0.8892411708322661,0,1.2455323028025573,0.0012949648516212891,57.94751873462072,0.6255026554385648,0.8402430972976624,1,0,5.740404605622598,0.276595744680852,0.13967611336032393,1.042221337080746,0.8298677367155199,6
1788152400,0.07501,0.07533,0.07482,0.07488,,,,,,,,,,,,14.986875452433733,-15.538593266274486,60,-60,,,0.07476390841183761,-0.02561880223600592,0.44816613210717815,0.9046537837822858,0,1.1896138999079628,0.00123362959081408,60.69893309756474,0.6255026554385648,0.8402430972976624,1,0,0.6026011252436988,0.23924268502581755,0.11917098445595796,1.0375092179599563,0.8334488014046942,6
1788156000,0.0749,0.07509,0.07473,0.07494,,,,,,,,,,,,6.562533141773052,-11.312387055378657,60,-60,,,0.07488176243276917,0.02798782487727662,0.27980526445734866,0.9206980606841925,0,1.1496602720695932,0.0011901149353771257,62.968708124188765,0.6255026554385648,0.8402430972976624,1,0,0.9484290233610162,0.1669724770642188,0.1790393013100416,1.0583900902682055,0.847183138707806,6
1788159600,0.07491,0.07527,0.07489,0.07502,,,,,,,,,,,,12.670087983062398,-14.467924379628194,60,-60,,,0.07498867023045151,0.06333789171778632,0.17207388666435008,0.9338291127694825,0,1.1246334897457568,0.001162300761982651,64.54439543860488,0.6255026554385648,0.8402430972976624,1,0,2.0975448359100377,0.14545454545454445,0.14189944134078072,1.0593825318479397,0.860799902032186,6
1788163200,0.07502,0.07512,0.07468,0.07472,,,,,,,,,,,,-3.0665949066206246,-18.46670254668969,60,-60,,,0.07487666162368557,0.04687847093512726,-0.0832522068159609,0.9426215368391849,0,1.10432462619769,0.001133680334863247,65.90923181975569,0.6255026554385648,0.8402430972976624,1,0,0.00598268447622032,0.08023483365949241,0.18640350877192968,1.058175648236443,0.8622371217207366,6
