time,open,high,low,close,ARO Regime (1 Trend / 0 Random / -1 Revert),ARO Hurst (smoothed),ARO Entropy (smoothed),ARO VR Composite,ARO Kalman Direction,ARO Innovation Z (smoothed),ARO volState (GARCH/EWMA),ARO Stop Distance (GARCH),Master Buy,Master Sell,Regime Flip,ARO Bounded Core,Pullback Score,Long Threshold,Short Threshold,PB Long,PB Short,Kalman Trend (price),Kalman Direction (kDir),Innovation Z (smoothed),VR Composite (gated),Regime (-1 Revert / 0 Rand / 1 Trend),volState (GARCH/EWMA),Suggested Stop Distance,Suggested Position %,Regime Hurst,Regime Entropy,ModeNum,ZoneForce Long,ZoneForce Short,Trailing ER short,Trailing ER long,Variance Ratio q short,Variance Ratio q long,Zone Count
2026-09-11T02:22:00Z,0.07762,0.07762,0.07761,0.07761,0,0.6142248975218724,0.8081077955689514,0.8553628431049887,-0.201278935183267,0.35780633628190606,0.8542284030326541,0.0000928813032747991,0,0,,-6.426786588369207,7.213395689225065,60,-60,,,0.07759475545772498,-0.21236897396930757,0.3303286224420908,0.8553628431049887,0,0.8542284030326541,0.0000928813032747991,100,0.5981229964076267,0.7568006820825599,1,0.00007453306344165286,0.1454593863272414,0.35135135135134327,0.184466019417471,0.827606346556693,0.8960625741632465,7
2026-09-11T02:23:00Z,0.07762,0.07762,0.07762,0.07762,0,0.6142248975218724,0.8081077955689514,0.8561613240099553,-0.11327041076396067,0.4207803294772444,0.8185232678706477,0.00008884849433734019,0,0,,0.6608192533403239,-0.33205688792566435,60,-60,,,0.07760483984257732,-0.1452575955693471,0.43428990616612406,0.8561613240099553,0,0.8185232678706477,0.00008884849433734019,100,0.590995649159387,0.7544829361776517,1,4.831312954012245e-7,0.4985512293038572,0.6129032258064459,0.2577319587628872,0.8288598872425389,0.8866566843972381,7
2026-09-11T02:24:00Z,0.07755,0.07756,0.07755,0.07756,0,0.6040933921343867,0.7957605975870632,0.8556700675084056,-0.14024483683404354,-0.13494029039815214,0.780425785188054,0.00008448676502908712,0,0,,55.27403050443434,-27.637015254610528,60,-60,,,0.07757714415917896,-0.16135694698577144,-0.09240509196757674,0.8556700675084056,0,0.780425785188054,0.00008448676502908712,100,0.5850876434741713,0.7518857126305453,1,0.0000745330634414258,8.659961455190427e-9,0.6470588235293926,0.47252747252748256,0.8280650054053759,0.8813101036052365,6
2026-09-11T02:25:00Z,0.07756,0.07756,0.07754,0.07755,0,0.6040933921343867,0.7957605975870632,0.8541590444548469,-0.18650955723746365,-0.20844270703747578,0.8000849029858934,0.00008641492032223182,0,0,,58.596359736072934,-29.298179868036467,60,-60,,,0.07755684668428438,-0.19340038625098988,-0.17062388956958027,0.8541590444548469,0,0.8000849029858934,0.00008641492032223182,100,0.5807816842606152,0.7494151240035587,1,0.0004234135998256624,0,0.5199999999999911,0.5111111111111145,0.8248367239332476,0.8774372727622118,6
2026-09-11T02:26:00Z,0.07755,0.07757,0.07754,0.07754,0,0.6040933921343867,0.7957605975870632,0.8529702400849306,-0.21900374404494172,-0.12767980119241373,0.7531092481867441,0.00008088704998354161,0,0,,-33.01821921088735,16.509655564489815,60,-60,,,0.07754102953699255,-0.21719378329804778,-0.1065607639635336,0.8529702400849306,0,0.7531092481867441,0.00008088704998354161,100,0.580275107429015,0.7473937333087515,1,0.0033070169087539903,0,0.666666666666686,0.40540540540541453,0.8266948744071649,0.8744903882830309,6
2026-09-11T02:27:00Z,0.07755,0.07758,0.07755,0.07758,-1,0.6040933921343867,0.7957605975870632,0.8486781670442101,-0.14192422872028,0.4393645362611561,0.7239911484111293,0.00007736996135511861,0,0,,-10.392948257165695,25.19647412861776,60,-60,,,0.07755675241103861,-0.15694825831118137,0.4552441120187723,0.8486781670442101,-1,0.7239911484111293,0.00007736996135511861,100,0.5799602478875978,0.7466751351037031,1,6.718431661727204e-10,2.2735574152488178e-7,0.36000000000002663,0.2972972972972983,0.8130318848899262,0.867156157035612,6
2026-09-11T02:28:00Z,0.0776,0.07773,0.07757,0.07773,-1,0.6040933921343867,0.7957605975870632,0.840010408748626,0.1372754089384704,1.7983306784911108,0.7498952928617011,0.00007990775739478872,0,0,,82.92805091492905,-30.92573822386023,60,-60,,,0.07763474420169848,0.056852646019333125,1.847788174989462,0.840010408748626,-1,0.7498952928617011,0.00007990775739478872,100,0.575462742259984,0.7471463068308727,1,0.4428399073365047,13.172172036211379,0.14999999999997746,0.06818181818182392,0.8015452389105971,0.8438045454043185,6
2026-09-11T02:29:00Z,0.07769,0.07769,0.07762,0.07763,-1,0.6040933921343867,0.7957605975870632,0.8295880782650065,0.2304996872918266,0.635808512873308,0.9789182402955956,0.00010377024544028232,0,0,,3.1273744688942156,-9.631230975609004,60,-60,,,0.07764482495126337,0.1427303192310923,0.7563161551174198,0.8295880782650065,-1,0.9789182402955956,0.00010377024544028232,100,0.580898811466938,0.7486573792695369,1,0.00007453306344163497,4.319517335305231,0.12195121951222154,0.07865168539326017,0.7910182831018521,0.8264685514936829,8
2026-09-11T02:30:00Z,0.07762,0.07766,0.07762,0.07762,-1,0.6040933921343867,0.7957605975870632,0.8240515652744881,0.20871483778678537,-0.06204811846373526,1.0027001548502763,0.00010608498660805,0,0,,-79.0162581137913,31.508358367992066,60,-60,,,0.07764368286440977,0.15561409922134442,0.09327313616358723,0.8240515652744881,-1,1.0027001548502763,0.00010608498660805,100,0.5874275318333211,0.7487681429665549,1,0.0005804149725413949,0.6494926693473281,0.049999999999982656,0.046511627906991,0.7931024997293519,0.8328545788575511,8
2026-09-11T02:31:00Z,0.07763,0.07763,0.0776,0.0776,-1,0.6040933921343867,0.7957605975870632,0.8197280238671546,0.09875438380306287,-0.47140980218329004,0.911112828084219,0.00009616423347435408,0,0,,-76.89901161918162,30.449534467185366,60,-60,,,0.07762648420066104,0.10431771807588859,-0.3544822438370082,0.8197280238671546,-1,0.911112828084219,0.00009616423347435408,100,0.5914676515759766,0.7492359488338654,1,0.00007453306344151807,0.003318942582928693,0.024390243902430768,0.18987341772151586,0.793282625235616,0.828879256869359,7
2026-09-11T02:32:00Z,0.07756,0.07756,0.07752,0.07756,-1,0.6040933921343867,0.7957605975870632,0.8181070970863275,-0.06060745965914008,-0.7204204283590556,0.8558070091465526,0.00008994726651565245,0,0,,-23.720990711829977,23.961663777764596,60,-60,,,0.07759275820331124,-0.0019548757156165747,-0.7036777787770665,0.8181070970863275,-1,0.8558070091465526,0.00008994726651565245,100,0.5960272281947591,0.7496186990889375,1,0.852986480022115,5.282741294726394e-9,0.11111111111110426,0.2195121951219504,0.8023695634517704,0.8273609235975757,7
2026-09-11T02:33:00Z,0.07757,0.07757,0.07749,0.07749,-1,0.6040933921343867,0.7957605975870632,0.8170047271096554,-0.2638311843078561,-0.9906575628985234,0.8348052844804233,0.00008741519873088604,0,0,,-17.545075322103592,21.595783558973988,60,-60,,,0.07753565642366216,-0.1610408046366975,-1.0858356412549732,0.8170047271096554,-1,0.8348052844804233,0.00008741519873088604,100,0.5998513609816531,0.749931858388542,1,9.384352962965655,4.876876956431592,0.2549019607843052,0.3902439024390248,0.8052797240843177,0.8243202502283051,7
2026-09-11T02:34:00Z,0.07749,0.07753,0.07744,0.07753,-1,0.6068934076404254,0.7876843207960994,0.8180519810064327,-0.3148758151033736,-0.2506119759816784,0.8692841577958393,0.00009092249758501033,0,0,,-20.922943763679655,22.4614796790953,60,-60,,,0.07752178861287763,-0.22099518805665977,-0.4237953105391209,0.8180519810064327,-1,0.8692841577958393,0.00009092249758501033,100,0.603422654879098,0.7501880796336731,1,0.00007453306344171641,0.00007453306344171641,0.061224489795924146,0.3012048192771096,0.8175102665549598,0.8227827110450144,7
2026-09-11T02:35:00Z,0.07749,0.07749,0.07746,0.07747,-1,0.6068934076404254,0.7876843207960994,0.8189107796739574,-0.3661931572078226,-0.2594838149102725,0.8390769469182926,0.00008754957788316076,0,0,,23.487388281345392,-3.7436941406726962,60,-60,,,0.07748588783100799,-0.2846560334892342,-0.4566101154977708,0.8189107796739574,-1,0.8390769469182926,0.00008754957788316076,100,0.6055080860227181,0.7503977151978711,1,6.3015769054200135,0,0.14814814814814625,0.2658227848101293,0.8206417346506854,0.8206150193673284,7
2026-09-11T02:36:00Z,0.07747,0.07758,0.07747,0.07758,-1,0.6068934076404254,0.7876843207960994,0.8110153727304525,-0.21225643358269863,0.8134844503065526,0.8414883671191629,0.00008785727140755088,0,0,,32.40138084764938,-12.62727459260023,60,-60,,,0.07751917367213089,-0.19775682299230346,0.6463998464444642,0.8110153727304525,-1,0.8414883671191629,0.00008785727140755088,100,0.6019287624812937,0.751405540162586,1,0,2.6331233892859873,0.06249999999999865,0.13636363636364784,0.806125416471488,0.7843237012153973,7
2026-09-11T02:37:00Z,0.07756,0.07767,0.07756,0.07767,-1,0.6068934076404254,0.7876843207960994,0.7983233119487735,0.04844984180442047,1.4626541816391891,0.9280644529940086,0.00009709810059045175,0,0,,55.3098690953621,-54.85164787493175,60,-60,,,0.07757988721212276,-0.026856424080125063,1.4016107475237543,0.7983233119487735,-1,0.9280644529940086,0.00009709810059045175,100,0.5988026541229086,0.7522301242246254,1,0.00007453306344163923,98.34307609862422,0.13043478260870614,0,0.8091045045376917,0.736773876233139,8
2026-09-11T02:38:00Z,0.07768,0.07768,0.07768,0.07768,-1,0.6068934076404254,0.7876843207960994,0.7895229630767505,0.29177728106598405,1.2175420051185917,0.9324711042722938,0.00009778304109095138,0,0,,26.44988268596034,-13.224973294953502,60,-60,,,0.07763457662938768,0.1500014830880302,1.310099180358765,0.7895229630767505,-1,0.9324711042722938,0.00009778304109095138,100,0.5922425749661651,0.7516912979298092,1,93.17877069800139,0.0002416038945166855,0.09090909090908174,0.010526315789469685,0.8283572795362839,0.7154872511291251,8
2026-09-11T02:39:00Z,0.07768,0.0777,0.07768,0.07768,-1,0.6068934076404254,0.7876843207960994,0.7883156757580142,0.42401573864292996,0.5922466953041096,0.86193096143852,0.0000896217915623568,0,0,,-14.087410717676711,-6.444083215126055,60,-60,,,0.07767000153624568,0.27400659419558493,0.8186431688761122,0.7883156757580142,-1,0.86193096143852,0.0000896217915623568,100,0.5878107099766021,0.7508206056891109,1,92.45434177430698,0.00006915167409207359,0.11111111111109741,0.11627906976744712,0.8532684651365533,0.71853373710453,8
2026-09-11T02:40:00Z,0.07768,0.07778,0.07768,0.07774,-1,0.6068934076404254,0.7876843207960994,0.7832031536378,0.5130070845376964,0.45769272835144276,0.8222645663561304,0.00008507647681931401,0,0,,-3.755652596623414,5.878894213027188,60,-60,,,0.07771966277269153,0.37767881349016036,0.7375656694334176,0.7832031536378,-1,0.8222645663561304,0.00008507647681931401,100,0.5893743368307055,0.7512535321418934,1,0.0568697283896537,7.960336821310183,0.24000000000001775,0.15555555555555967,0.8282883486816054,0.7176678701131377,8
2026-09-11T02:41:00Z,0.07774,0.07778,0.07774,0.07778,-1,0.6068934076404254,0.7876843207960994,0.7763221500823522,0.5791960296262345,0.2911355992849092,0.8336668988688005,0.0000860485406889248,0,0,,23.00053001805385,-3.6427404966048798,60,-60,,,0.07776712560853506,0.4678493862364841,0.5785931258461174,0.7763221500823522,-1,0.8336668988688005,0.0000860485406889248,100,0.5934016436857269,0.751341770292525,1,12.19504889020971,1.2388887340084906,0.34615384615384104,0.1827956989247376,0.804061317168371,0.7210589687745421,8
2026-09-11T02:43:00Z,0.07778,0.07778,0.07766,0.07766,-1,0.6068934076404254,0.7876843207960994,0.76154007285751,0.3794356041969503,-1.047968531054164,0.8232109715548795,0.00008468744988863189,0,0,,-17.19760771470193,4.598828611420959,60,-60,,,0.07773283260255434,0.35350053612477905,-0.8131284731942976,0.76154007285751,-1,0.8232109715548795,0.00008468744988863189,100,0.5900580928693244,0.7525395334412944,1,0.0002878780631006036,74.93531235487828,0.16666666666667052,0.04761904761905643,0.7637670767971358,0.7001847600185155,8
